time,"(ABS) Front left wheel speed (km/h)","(ABS) Front right wheel speed (km/h)","(ABS) Rear right wheel speed (km/h)","[BCM] Battery Capacity too low for start/stop ()","[BCM] Battery Current too high for start/stop ()","[BCM] Battery Current: Predicted (A)","[BCM] Battery Quinscent Current: low range (mA)","[BCM] Battery Refresh Cycle in progress for Start/Stop ()","[BCM] Battery SoC (%)","[BCM] Battery SoC too low for start/stop ()","[BCM] Battery State Detection Status ()","[BCM] Battery Temperature Too Low for auto stop ()","[BCM] Battery Voltage Too Low for auto restart ()","[BCM] Battery Voltage too low for cold cranking capability ()","[BCM] Battery Voltage too low for Start/Stop ()","[BCM] Normalized cumulative charge when ignition is on [Cn] ()","[BCM] Normalized cumulative discharge from battery with engine off [Cn] ()","[BCM] Normalized cumulative discharge from battery with engine on [Cn] ()","[BCM] Vehicle Battery B Current (A)","[BCM] Vehicle Battery B Voltage (V)","[BCM] Vehicle Battery Current (A)","[BCM] Vehicle Battery SoC (A)","[BCM] Vehicle Battery Voltage (V)","# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Actual engine - percent torque (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","ATF temperature var.3 (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance to empty (km)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine Exhaust Flow Rate (g/sec)","Engine Friction - Percent Torque (%)","Engine fuel rate (L/h)","Engine fuel rate (L/h)","Engine Fuel Rate (g/sec)","Engine oil pressure raw (kPa)","Engine reference torque (N⋅m)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel rail press. (kPa)","Fuel System A Use Percentage Bank 1 (%)","Fuel System A Use Percentage Bank 2 (%)","Fuel System B Use Percentage Bank 1 (%)","Fuel System B Use Percentage Bank 2 (%)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Gear (AT) ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake air temperature B1S1 (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","Long term secondary oxygen sensor trim Bank 2 (%)","Manifold absolute pressure (high resolution) (kPa)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","PCM Odometer (km)","Power (from Torque and RPM) (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Speed (GPS) (km/h)","Throttle position (%)","Throttle Position Actually (°)","Throttle Position Desired (°)","Timing advance (°)","Vane position sensor (V)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle Odometer Reading (km)","Vehicle speed (km/h)",Latitude,Longtitude,
18:21:27.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.87567138671875,,,,,,,,,33.12597948500613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80400123596191,,,,,,,,,,,21.5044411,39.2228199,
18:21:28.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15081787109375,,,,,,,,,33.36129051721655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.27599945068359,,,,,,,,,,,21.5045262,39.2227615,
18:21:30.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.58575439453125,,,,,,,,,33.38785357943797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7319995880127,,,,,,,,,,,21.5046716,39.2226531,
18:21:31.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9208984375,,,,,,,,,33.34153327697866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0759994506836,,,,,,,,,,,21.5047375,39.2226042,
18:21:32.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.145263671875,,,,,,,,,33.276727623941674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.427998352050782,,,,,,,,,,,21.5048012,39.2225561,
18:21:33.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.247314453125,,,,,,,,,33.215359309478444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.427998352050782,,,,,,,,,,,21.5048653,39.2225066,
18:21:34.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3861083984375,,,,,,,,,33.1383311872829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70799903869629,,,,,,,,,,,21.5049277,39.2224597,
18:21:35.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3941650390625,,,,,,,,,33.01442479464806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.195998764038087,,,,,,,,,,,21.5049935,39.222411,
18:21:36.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.014892578125,,,,,,,,,32.83197852192506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00800075531006,,,,,,,,,,,21.5050519,39.2223694,
18:21:37.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.948486328125,,,,,,,,,32.66741206428795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.703999519348145,,,,,,,,,,,21.5051073,39.2223287,
18:21:38.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04864501953125,,,,,,,,,32.333796215910006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.159999656677247,,,,,,,,,,,21.5051481,39.2223024,
18:21:39.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.088623046875,,,,,,,,,31.801192299819167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.392000102996827,,,,,,,,,,,21.5051762,39.2222792,
